fuck,date,organization,address,license,licenseYear,licenseCode,latitude,longitude
1,1998/03/25,八里山河戀NO1管理委員會,八里鄉中華路366號,82八使字第 1418 號,82,1418,25.15067,121.73611
1,1998/05/28,法拉麗管理委員會,八里鄉頂寮二街28號5樓,83八使字第 0847 號,83,0847,25.125298,121.450653
1,1998/06/03,河畔新都管理委員會,八里鄉龍米路二段31號,85八使字第 1314 號,85,1314,25.139804,121.448342
1,1998/06/30,山水緣管理委員會,八里鄉中山路2之60號,83八使字第 0216 號,83,0216,25.136724,121.506511
1,1998/09/07,台北鄉管理委員會城,八里鄉中山路78之3號,82八使字第 1350 號,82,1350,25.138847,121.511636
1,1998/09/23,山河戀二期管理委員會,八里鄉中華路二段376號,84八使字第 1326 號,84,1326,24.203372,120.538126
1,1998/10/20,虹橋豪景大廈管理委員會,八里鄉龍米路二段69-75號,86八使字第 1255 號,86,1255,25.141036,121.447891
1,1998/11/20,關渡小城管理委員會,八里鄉中華路二段308巷9號1樓,82八使字第 0307 號,82,0307,25.148834,121.403524
1,1998/12/14,淡水芳鄰管理委員會,八里鄉中山路二段303巷8號,83八使字第 1609 號,83,1609,25.138722,121.511585
1,1998/12/29,八里風情NO.2管理委員會,八里鄉中山路17之13號,82八使字第 0073 號,82,0073,25.138007,121.509604
1,1998/12/29,山海觀管理委員會,八里鄉中山路二段79號1樓,84八使字第 0468 號,84,0468,25.138722,121.511585
1,1999/05/28,波詩灣管理委員會,八里鄉龍米路一段358號,87八使字第 0756 號,87,0756,25.131229,121.451607
1,1999/06/22,日光大道管理委員會,八里鄉中華路二段400號,84八使字第 0143 號,84,0143,24.252044,120.556167
1,1999/07/07,在水一方江水藍特區管理委員會,八里鄉頂寮五街22號,83八使字第 1666 號,83,1666,25.126266,121.451223
1,1999/09/30,巴黎春天管理委員會,八里鄉中山路9之27號,86八使字第 0679 號,86,0679,25.138007,121.509604
1,1999/12/21,加勒比海管理委員會,八里鄉龍米路二段18號,87八使字第 0714 號,87,0714,25.139101,121.449212
1,2000/01/27,喜來登管理委員會,八里鄉中華路390號,87八使字第 0839 號,87,0839,25.026237,121.507875
1,2000/06/29,龍行大地管理委員會,八里鄉龍米路二段90號,87八使字第 0867 號,87,0867,25.143418,121.44726
1,2000/07/13,關渡夏威夷管理委員會,八里鄉中山路125之18號,82八使字第 0043 號,82,0043,25.138667,121.511667
1,2000/08/01,一品公爵管理委員會,八里鄉龍形一街29號,82八使字第 0406 號,82,0406,25.130216,121.449655
1,2000/08/21,遊山玩水管理委員會,八里鄉龍米路一段245號,88八使字第 0875 號,88,0875,25.133194,121.451029
1,2000/12/18,關渡風情管理委員會,八里鄉頂寮二街13號,85八使字第 0567 號,85,0567,25.124324,121.450647
1,2001/02/15,山河戀第三期管理委員會,八里鄉中華路二段246號8樓,87八使字第 0928 號,87,0928,25.030242,121.504264
1,2001/08/06,摩登原始人管理委員會,八里鄉頂寮三街46號,84八使字第 1320 號,84,1320,25.125744,121.451091
1,2001/10/26,巴黎假期管理委員會,八里鄉龍米路一段221號,89八使字第 0943 號,89,0943,25.131837,121.451327
1,2001/12/11,初戀八里管理委員會,八里鄉中山路一段129巷15號,83八使字第 0769 號,83,0769,25.138722,121.511585
1,2001/12/19,關渡山水管理委員會,八里鄉頂寮二街89至99號,88八使字第 0229 號,88,0229,25.125506,121.449461
1,2002/01/17,小聖心第六期管理委員會,八里鄉龍形一街12巷2號,85八使字第 0129 號,85,0129,25.130554,121.450008
1,2002/04/17,香榭大道管理委員會,八里鄉中華路二段280號,82八使字第 1161 號,82,1161,25.030242,121.504264
1,2002/12/05,在水一方管理委員會,八里鄉頂寮三街10號B1,84八使字第 0464 號,84,0464,25.125872,121.451838
1,2003/03/24,麗池海岸管理委員會,八里鄉龍米路一段238-260號,90八使字第 0335 號,90,0335,25.128899,121.451952
1,2003/12/31,中山華廈管理委員會,八里鄉中山路二段408~412號,88八使字第 1074 號,88,1074,25.138722,121.511585
1,2004/02/06,富貴麗園管理委員會,八里鄉中山路二段447巷23號7樓,91八使字第 0253 號,91,0253,25.138722,121.511585
1,2005/04/07,龍霆企業股份有限公司管理負責人,八里鄉忠孝路298.300號,94八使字第0297號,94,0297,23.019749,120.243746
1,2005/06/22,忠孝雅築,八里鄉中山路一段376號2樓,94八使字第0238號,94,0238,25.138722,121.511585
1,2005/10/13,名家公寓大廈,八里鄉文昌路112號,94八使字第0257 號,94,0257,25.096927,121.521001
1,2006/03/23,高賓建設股份有限公司,八里鄉賢三街176號,94八使字第0412號,94,0412,25.15671,121.414337
1,2006/03/23,王派精密企業有限公司,八里鄉仁愛路205號,94八使字第0511號,94,0511,25.03817,121.552283
1,2006/05/03,葉金印住宅公寓大廈,八里鄉忠六街2.6號,95八使字第0090號,95,0090,25.159399,121.42272
1,2006/07/11,春天戀人社區,八里鄉龍米路一段198.200號,94八使字第0587號,94,0587,25.138007,121.449637
1,2006/08/18,永嘉鐵工廠工程有限公司,八里鄉博物館路165號,95八使字第0317號,95,0317,25.157415,121.406722
1,2006/09/27,左岸觀海雅築,八里鄉觀海大道63號,95八使字第0297號,95,0297,25.161663,121.427777
1,2006/10/12,巴黎左岸管理委員會,八里鄉頂寮二街87號7樓,95八使字第0192號,95,0192,25.125543,121.449851
1,2006/10/31,張財旺公寓大廈管理負責人,八里鄉舊城村21鄰松子腳2號,95八使字第0499號,95,0499,25.144812,121.403435
1,2007/03/21,正揚雷射公寓大廈,八里鄉忠孝路430號,95八使字第0528號,95,0528,24.833749,121.076984
1,2007/03/12,富貴天下管理委員會,八里鄉商港路12-2號11樓,95八使字第0043號,95,0043,25.144904,121.397152
1,2007/06/15,左岸麗緻公寓大廈,八里鄉中華路一段126-136號,96八使字第0239號,96,0239,25.043602,121.508289
1,2007/07/25,龍米之星公寓大廈管理負責人,八里鄉龍米路二段230之1號,96八使字第0278號,96,0278,25.158647,121.431835
1,2007/01/09,左岸荷庭社區管理委員會(補登報備資料),八里鄉忠孝路203號,95八使字第0341號,95,0341,25.16045,121.422079
1,2007/10/29,仁愛公寓大廈,八里鄉仁愛路122號,96八使字第0493號,96,0493,24.8716,121.011364
1,2007/11/22,傑士堡管理委員會,八里鄉中山路一段73號,96八使字第0318號,96,0318,25.13875,121.511799
1,2007/01/09,左岸荷庭社區管理委員會,八里鄉忠孝路203號,95八使字第0341號,95,0341,24.977143,121.254988
1,2008/06/30,洪福進公寓大廈管理負責人,八里鄉觀海大道121號,97八使字第0400號,97,0400,25.161968,121.42504
1,2008/06/30,左岸麗園公寓大廈管理委員會,八里鄉忠孝路45-5號,97八使字第0247號,97,0247,23.596259,120.444964
1,2008/07/02,左岸布拉格公寓大廈管理委員會,八里鄉頂寮二街31號8樓,97八使字第0172號,97,0172,25.124787,121.449943
1,2008/09/17,金色左岸管理委員會,八里鄉文心街43號,96八使字第0165號,96,0165,25.16072,121.428487
1,2008/10/30,天泉大廈管理委員會,八里鄉龍米路一段208至210號,96八使字第0317號,96,0317,25.12867,121.452095
1,2009/02/25,天林社區管理負責人,八里鄉觀海大道17至21號,97八使字第0217號,97,0217,25.1597,121.429406
1,2009/03/26,呂文光公寓大廈管理負責人,八里鄉中華路二段486至488號,98八使字第0089號,98,0089,22.79505,120.362686
1,2009/05/11,源豐雅居管理委員會,台北縣八里鄉訊塘路36號2樓,86八使字第1259號,86,1259,25.145357,121.397931
1,2009/05/20,林宜寬公寓大廈管理負責人,台北縣八里鄉頂罟村6鄰博物館路201.203號,98八使字第020號,98,020,25.156086,121.405361
1,2009/07/02,音園管理委員會,台北縣八里鄉大崁村4鄰賢三街17號3樓,97八使字第533號,97,533,25.158971,121.41909
1,2009/07/29,陳黃錦紗管理負責人,台北縣八里鄉大崁村10鄰文心街33號2樓,97八使字第567號,97,567,25.16082,121.428752
1,2009/11/12,台北百達社區管理委員會,台北縣八里鄉中山路二段406巷7號4樓,98八使字第125號,98,125,25.147897,121.399932
1,2009/12/28,八里豪景社區管理委員會,台北縣八里鄉賢一街268號,97八使字第365號,97,365,25.15575,121.414918
1,2010/03/23,文心左岸社區管理委員會,台北縣八里鄉大崁村11鄰文心街141號,97八使字第374號,97,374,25.161124,121.425462
1,2010/04/30,雅仕堡管理委員會,台北縣八里鄉中山路一段89號之2,97八使字第749號,97,749,25.159222,121.416467
1,2010/05/27,綠意雅築大樓管理委員會,台北縣八里鄉仁愛路53號3樓,98八使字第011號,98,011,25.160343,121.412519
1,2010/06/29,建鹽公寓大廈管理委員會,台北縣八里鄉博物館路199號1.3.4樓,98八使字第497號,98,497,25.156209,121.405482
1,2010/07/01,湯堡溫泉行館管理委員會,台北縣八里鄉訊埔路19號6樓,97八使字第505號,97,505,25.14462,121.397679
1,2010/10/19,逸境大廈管理委員會,台北縣八里鄉米倉村1鄰龍米路二段58－3號6樓,98八使字第405號,98,405,25.140985,121.448443
1,2010/10/19,木之坊公寓大廈管理負責人,台北縣八里鄉博物館路15號2~4樓,99八使字第289號,99,289,25.163471,121.415372
1,2010/11/19,藝墅家公寓大廈管理委員會,台北縣八里鄉民治街32號,96八使字第526號,96,526,25.157534,121.414516
1,2010/12/21,左岸芝星管理負責人,新北市八里區埤頭一街150號,97八使字第144號,97,144,25.15804,121.414388
1,2011/01/28,巴里島社區管理委員會,新北市八里區舊城里20鄰中華路二段550號7樓,84八使字第916號,84,916,25.14552,121.398874
1,2011/01/28,吏達管理負責人,新北市八里區文昌路122號2樓,99八使字第343號,99,343,25.157976,121.409577
1,2011/01/04,金色左岸忠孝社區管理委員會,新北市八里區忠孝路106號,97八使字第180號,97,180,25.160723,121.425698
1,2011/01/07,典藏巴黎社區管理委員會,新北市八里區大崁村3鄰忠孝路387號5樓,98八使字第319號,98,319,25.160664,121.416099
1,2011/03/09,張晏增公寓大廈管理負責人,新北市八里區大崁村1鄰觀海大道5號3樓,84八使字第852號,84,852,25.159365,121.429363
1,2011/05/05,義福社區管理負責人,新北市八里區忠孝路132號,98八使字第376號,98,376,25.160602,121.42523
1,2011/06/03,觀海管理負責人,新北市八里區觀海大道35號,100八使字第124號,100,124,25.160475,121.429471
1,2011/05/31,水天闊公寓大廈管理委員會,新北市八里區文化街117號,98八使字第521號,98,521,25.159718,121.42231
1,2011/07/25,台北雪梨社區管理委員會,新北市八里區商港六路56號9樓,100八使字第023號,100,023,25.148852,121.396272
1,2011/11/21,張聞展公寓大廈管理委員會,新北市八里區文昌路60巷19號,83八使字第437號,83,437,25.157252,121.409933
1,2011/11/10,寶茂萊茵大廈管理委員會,新北市八里區龍米路二段28號,97八使字第232號,97,232,25.139837,121.448943
1,2012/03/14,悅昇公寓大廈管理委員會,新北市八里區中山路二段500巷10號8樓之3,100八使字第148號,100,148,25.147351,121.398284
1,2012/04/05,仕聯華廈管理委員會,新北市八里區中山路一段120號5樓,99八使字第550號,99,550,25.159721,121.418654
1,2012/04/27,江美智管理負責人,新北市八里區文昌路130號,100八使字第395號,100,395,25.158424,121.409226
1,2012/09/18,閎立大樓社區管理委員會,新北市八里區中華路一段272號,101八使字第361號,101,361,25.155436,121.416028
1,2012/09/19,山海第一景社區管理委員會,新北市八里區龍米路二段88-1號,99八使字第058號,99,058,25.143288,121.447346
1,2013/01/23,觀泉二期社區管理委員會,新北市八里區龍米路二段206巷9-19號,98八使字第477號,98,477,25.159434,121.432597
1,2013/03/22,張順進管理負責人,新北市八里區文化街50號,101八使字第530號,101,530,25.159942,121.423173
1,2013/04/26,昇陽九樂公寓大廈管理委員會,新北市八里區龍米路一段306號,101八使字第478號,101,478,25.129897,121.451666
1,2013/04/22,張明塗公寓大廈管理負責人,新北市八里區中山路一段41號,101八使字第463號,101,463,25.159638,121.419596
1,2013/04/22,林?淋管理負責人,新北市八里區中山路二段58號,101八使字第389號,101,389,25.156648,121.409181
1,2013/04/09,觀泉一期社區管理委員會,新北市八里區龍米路二段226巷7號,97八使字第064號,97,064,25.158892,121.432618
1,2013/08/19,左岸新天地管理委員會,新北市八里區文化街15號等,101八使字第355號,101,355,25.159651,121.424398
1,2013/08/02,沈春長管理負責人,新北市八里區觀海大道185號等,96八使字第686號,96,686,25.162243,121.421285
1,2014/02/13,杜老爺公寓大廈管理負責人,新北市八里區忠孝路416號等,101八使字第405號,101,405,25.161428,121.416816
1,2014/01/29,大利市社區管理委員會,新北市八里區忠孝路8號等,102八使字第294號,102,294,25.160212,121.429311
1,2014/05/21,鑫鈜之星管理委員會,新北市八里區文化街127號等,103八使字第036號,103,036,25.159915,121.422185
1,2014/05/29,能毅家管理負責人,新北市八里區賢二街16號等,103八使字第058號,103,058,25.158956,121.419608
1,2014/05/13,伴月灣公寓大廈管理委員會,新北市八里區龍米路二段38-5號等,102八使字第491號,102,491,25.140574,121.448437
1,2014/05/13,中山社區管理負責人,新北市八里區中山路二段241號等,103八使字第126號,103,126,25.149014,121.403104
1,2014/06/13,林雅雯社區管理負責人,新北市八里區觀海大道37號等,103八使字第197號,103,197,25.160579,121.430311
1,2014/07/18,張漢賓公寓大廈管理負責人,新北市八里區忠孝路423號等,103八使字第163號,103,163,25.161296,121.414644
1,2014/10/21,麗緻電梯別墅NO2管理委員會,新北市八里區民享街98號等,103八使字第144號,103,144,25.157678,121.413336
1,2014/10/17,仕聯新天地管理負責人,新北市八里區賢一街9至27號,103八使字第017號,103,017,25.158667,121.42157
1,2015/06/24,左岸透天管理委員會,新北市八里區忠孝路171-1號,95八使字第507號,95,507,25.160619,121.423353
1,2015/07/07,中廣芳鄰大廈,新北市八里區中山路2段107號7樓,84八淡使第191號,84,191,25.152221,121.405765
1,2015/07/07,左岸丰帆,新北市八里區觀海大道125號14樓,102八使字第088號,102,088,25.161968,121.42504
1,2016/02/26,駿曜塑膠公寓大廈管理負責人,新北市八里區忠孝路302號,104八使字第00492號,104,00492,25.161504,121.418201
1,2016/01/30,張智閔管理負責人,新北市八里區中華路一段178號,105八使字第00037號,105,00037,25.156777,121.418881
1,2016/07/21,一品苑公寓大廈管理委員會,新北市八里區賢三街72號,103八使字第00247號,103,00247,25.158055,121.417773
1,2016/12/29,左岸庭苑社區管理委員會,新北市八里區文心街138號等,105八使字第00410號,105,00410,25.161276,121.425657
1,2017/01/13,楊炎平管理負責人,新北市八里區觀海大道25號等,104八使字第00032號,104,00032,25.1597,121.429406
1,2017/04/05,左岸之王社區管理委員會,新北市八里區龍米路1段188號等,105八使字第00397號,105,00397,25.127452,121.452208
1,2017/04/12,廷悅昇公寓大廈管理委員會,新北市八里區商港路80號等,104八使字第00094號,104,00094,25.146625,121.395653
1,2018/05/04,佑翰第一綻社區管理委員會,新北市八里區四維街7號,106八使字第00435號,106,00435,25.157208,121.417325
1,2018/05/16,香格里拉住戶管理委員會,新北市八里區訊塘路50號6樓,82八使字第00312號,82,00312,25.145551,121.398135
1,2018/05/24,冠隆大樓管理負責人,新北市八里區仁愛路116號,106八使字第00245號,106,00245,25.15931,121.410546
1,2018/05/31,文昌社區管理負責人,新北市八里區文昌路30號1樓,107八使字第00163號,107,00163,25.155011,121.41242
1,2018/06/22,水木梧桐社區管理委員會,新北市八里區文心街91-1號,103八使字第00123號,103,00123,25.160855,121.427325
1,2018/08/08,忘憂莊管理委員會,新北市八里區民治街51號～97號,103八使字第00459號,103,00459,25.157395,121.414559
1,2018/09/19,葉永容管理負責人,新北市八里區忠七街6號,107八使字第00303號,107,00303,25.159669,121.421173
1,2018/11/09,陽光峇里社區管理委員會,新北市八里區文昌一街6號6樓,107八使字第00174號,107,00174,25.156592,121.410338
1,2018/11/21,左岸之星管理委員會,新北市八里區觀海大道95-1號2樓,107八使字第00180號,107,00180,25.16176,121.426751
1,2019/01/25,康朝焜管理負責人,新北市八里區中華路2段390號,107八使字第00426號,107,00426,25.147027,121.402062
1,2019/02/27,李洪水公寓大廈管理負責人,新北市八里區忠孝路85號,105八使字第00356號,105,00356,25.160463,121.424781
1,2019/02/27,李洪水公寓大廈管理負責人,新北市八里區忠孝路85號,105八使字第00356號,105,00356,25.160463,121.424781
1,2019/03/08,偉昕企業大樓管理負責人,新北市八里區仁愛路108號,107八使字第00203號,107,00203,25.159443,121.41067
1,2019/05/20,文昌公寓管理負責人,新北市八里區文昌路71-73號,108八使字第00139號,108,00139,25.157411,121.409864
1,2019/07/24,基玉首席管理委員會,新北市八里區頂罟一路65-75號,107八使字第00486號,107,00486,25.152225,121.401928
1,2019/08/06,台北晴灣社區管理委員會,新北市八里區忠孝路299號,107八使字第00401號,107,00401,25.161034,121.418848
1,2019/08/21,左岸帝寶管理委員會,新北市八里區文心街71號,107八使字第00166號,107,00166,25.160862,121.428089
1,2019/08/28,富勝公寓大廈管理負責人,新北市八里區商港五路99號,108八使字第00007號,108,00007,25.150338,121.394762
1,2019/11/04,台灣司麥爾食品股份有限公司管理負責人,新北市八里區觀海大道171號,108八使字第00105號,108,00105,25.162393,121.422624
1,2019/12/19,台北雪梨2社區管理委員會,新北市八里區埤頭二街82～96號,107八使字第00053號,107,00053,25.157299,121.413051
1,2020/01/20,文昌苑公寓大廈管理委員會,新北市八里區文昌五街126~128號等,107八使字第00211號,107,00211,25.153417,121.408683
1,2020/01/22,勤樸天翔社區管理委員會,新北市八里區文昌七街169~183號,108八使字第00283號,108,00283,25.152995,121.409139
1,2020/06/16,錡隆企業大樓管理負責人-1090722補登,新北市八里區大崁里忠孝路437號,107八使字第00406號,107,00406,25.16167,121.413766
1,2020/07/02,美滿社區管理負責人,新北市八里區下罟里9鄰下罟子55-6號~55-8號,109八使字第00039號,109,00039,25.140073,121.388279
1,2020/08/18,李有田公寓大廈管理委員會,新北市八里區大崁里賢三街77~79號,97八使字第00008號,97,00008,25.157585,121.415888
1,2020/08/18,張俊隆公寓大廈管理委員會,新北市八里區舊城里中華路2段88~100[號,109八使字第00134號,109,00134,25.145474,121.399058
1,2020/09/07,全翰華廈公寓大廈管理委員會,新北市八里區龍形二街2-11號等,109八使字第00050號,109,00050,25.131281,121.45072
1,2020/01/20,文昌苑公寓大廈管理委員會,新北市八里區文昌五街126~128號等,107八使字第00211號,107,00211,25.153417,121.408683
1,2020/01/22,勤樸天翔社區管理委員會,新北市八里區文昌七街169~183號,108八使字第00283號,108,00283,25.152995,121.409139
1,2020/06/16,錡隆企業大樓管理負責人,新北市八里區大崁里忠孝路437號,107中使字第00406號,107,00406,25.16167,121.413766
1,2020/07/02,美滿社區管理負責人,新北市八里區下罟里9鄰下罟子55-6號~55-8號,109八使字第00039號,109,00039,25.140073,121.388279
1,2021/01/09,上品苑社區管理委員會,新北市八里區大崁里四維街17號等,108八使字第00134號,108,00134,25.157426,121.417212
1,2021/01/26,城市巴黎管理委員會,新北市八里區文昌六街72~80號等,109八使字第00179號,109,00179,25.154482,121.411664
1,2021/01/27,鄭暄翰管理負責人,新北市八里區賢一街231~237號等,109八使字第00377號,109,00377,25.155393,121.414587
1,2021/02/05,幸福莊園公寓大廈管理委員會,新北市八里區文昌六街118~126號等(雙號),109八使字第00299號,109,00299,25.154482,121.411664
1,2021/02/20,闔家園管理負責人,新北市八里區埤頭里文昌五街101號等,108八使字第00434號,108,00434,25.154871,121.411562
1,2021/02/21,安連日盛管理負責人,新北市八里區埤頭里文昌五街103號等,108八使字第00454號,108,00454,25.154814,121.411469
1,2021/03/01,全坤家圓社區管理委員會,新北市八里區埤頭里文昌三街21號2樓等,109八使字第00297號,109,00297,25.155249,121.411021
1,2021/03/02,米里左岸社區管理負責人,新北市八里區米倉里龍米路二段78號等,107八使字第00106號,107,00106,25.142348,121.447736
1,2021/03/07,禾畚居管理負責人,新北市八里區訊塘里商港七路21號等,109八使字第00138號,109,00138,25.148122,121.398957
1,2021/05/07,林溫淋管理負責人,新北市八里區中山路二段58號,105八使字第00360號,105,00360,25.156648,121.409181
1,2021/08/12,葉公館管理負責人,新北市八里區中山路一段96號2樓,108八使字第00111號,108,00111,25.159365,121.4212
1,2021/09/20,勤樸天逸社區管理委員會,新北市八里區中山路二段282號,109八使字第418號,109,418,25.150814,121.404926
1,2021/09/30,雄蓋綻社區管理委員會,新北市八里區中山路二段287號等,110八使字第90號,110,90,25.14828,121.401723
1,2021/09/30,雅麗管理負責人,新北市八里區中山路11-8號6樓,83八使字第344號,83,344,25.158873,121.422383
1,2021/12/08,快意人生社區管理委員會,新北市八里區頂罟 一路88號等,110八使字第123號,110,123,25.151976,121.401585
1,2022/01/03,HI台北社區管理委員會,新北市八里區訊塘里12鄰商港三路85號,110八使字第155號,110,155,25.153473,121.402348
1,2016/03/02,田晉五金公寓大廈管理委員會,新北市三芝區四棧橋53-13號,104芝使字第00512號,104,00512,25.265561,121.48296
1,2016/07/25,麗景特區公寓大廈管理委員會,新北市三芝區中興街一段117號,84芝使字第1013號,84,1013,25.256886,121.498085
1,2016/12/02,御都大樓管理委員會,新北市三芝區中正路2段18號,84芝使字第1089號,84,1089,25.255234,121.504542
1,2017/01/04,統帥花都住戶管理委員會,新北市三芝區中興街1段42號等,83芝使字第01321號,83,01321,25.257203,121.498195
1,2017/01/06,富貴人生社區管理委員會,新北市三芝區中興街2段2號等,84芝使字第00629號,84,00629,25.256689,121.498459
1,2017/02/14,真龍天子社區管理委員會,新北市三芝區中正路3段11巷5號等,83芝使字第01795號,83,01795,25.253993,121.502263
1,2017/05/25,金地主社區管理委員會,新北市三芝區中山路一段11號地下室,83芝使字第01261號,83,01261,25.258472,121.500192
1,2017/06/20,三芝名人居社區管理委員會,新北市三芝區中正路3段18巷20號等,105芝使字第00113號,105,00113,25.25335,121.502475
1,2017/08/08,龍大地第二期社區管理委員會,新北市三芝區中興街一段28、30、30-1、30-2、32、32-1號 ,83芝使字第01245號,83,01245,25.256886,121.498085
1,2019/01/14,練月琴管理負責人,新北市三芝區古庄里10鄰古庄77號2樓 ,105芝使字第00201號,105,00201,25.266473,121.49052
1,2019/01/14,三芝名人居社區第二期管理委員會(1080531補登),新北市三芝區埔頭里42鄰中興街二段246號 ,107芝使字第00097號,107,00097,25.253174,121.501884
1,2020/01/22,千佛堂管理負責人,新北市三芝區店子里龜子山路26-5號,108芝使字第00268號,108,00268,25.212073,121.50588
1,2020/10/27,育英社區管理委員會,新北市三芝區育英街24巷11~19號,71芝使字第00854號,71,00854,25.257027,121.502384
1,2021/01/07,三芝名人居四期管理委員會,新北市三芝區中興街二段248號等,109芝使字第00095號,109,00095,25.253122,121.501748
1,2021/01/08,三芝名人居三期管理委員會,新北市三芝區中興街二段200號等,109芝使字第00092號,109,00092,25.253243,121.501593
1,2021/07/04,勁賀社區管理委員會,新北市三芝區中興街2段248號,109芝使字第00095號,109,00095,25.253122,121.501748
1,2011/01/03,三和正旺社區管理委員會,新北市三重區三和路三段172號2樓,99重使字第182號,99,182,25.073198,121.492442
1,2011/01/04,中興公寓大廈管理委員會,新北市三重區中興北街135巷16號,76重使字第370號,76,370,25.051069,121.470235
1,2011/01/07,日安巴黎管理委員會,新北市三重區碧華里5鄰永安北路二段177號8樓,99重使字第372號,99,372,25.085298,121.48394
1,2011/01/18,嘉泉御園公寓大廈管理委員會,新北市三重區重陽路一段60巷57號4樓,98重使字第056號,98,056,25.058309,121.484582
1,2011/01/20,宏普馥桂社區管理委員會,新北市三重區五華街238號3樓,99重使字第325號,99,325,25.08718,121.487755
1,2011/02/15,筑美舘公寓大廈管理委員會,新北市三重區集勇街69號9樓,99重使字第404號,99,404,25.086182,121.484382
1,2011/02/23,公園誠品公寓大廈管理委員會,新北市三重區碧華街294巷17號6樓,99重使字第376號,99,376,25.084226,121.488757
1,2011/03/11,紐約紐約公寓大廈管理委員會,新北市三重區集勇街23號12樓,99重使字第391號,99,391,25.085474,121.48495
1,2011/03/17,景立方社區管理委員會,新北市三重區五華街147－5號5樓,99重使字第448號,99,448,25.084826,121.490724
1,2011/03/24,合嘉無盡藏社區管理委員會,新北市三重區進安街105號1樓,99重使字第403號,99,403,25.08661,121.494471
1,2011/04/15,品安首席社區管理委員會,新北市三重區溪尾街189號10樓,99重使字第061號,99,061,25.080601,121.488688
1,2011/04/15,捷運新宿公寓大廈管理委員會,新北市三重區重新路三段72號5樓之1,99重使字第185號,99,185,25.06105,121.493519
1,2011/05/12,集英會館公寓大廈管理負責人,新北市三重區集英路116號,98重使字第370號,98,370,25.087246,121.484941
1,2011/05/30,遠雄集美管理委員會,新北市三重區重新路四段226號,99重使字第157號,99,157,25.054068,121.485937
1,2011/06/17,品巴黎社區管理委員會,新北市三重區碧華里5鄰集仁街148號,100重使字第042號,100,042,25.086397,121.484823
1,2011/06/23,敦榮紙業公寓大廈管理負責人,新北市三重區重化街2號,99重使字第505號,99,505,25.063769,121.46791
1,2011/07/08,合康領賢社區管理委員會,新北市三重區集英路6號9樓,99重使字第560號,99,560,25.08565,121.48698
1,2011/07/11,永新公寓大廈管理負責人,新北市三重區雙園街57巷34弄59號,98重使字第636號,98,636,25.068083,121.493098
1,2011/07/26,哲偉公寓大廈管理負責人,新北市三重區車路頭街146號,100重使字第200號,100,200,25.075923,121.483929
1,2011/08/04,集英堡三期公寓大廈管理委員會,新北市三重區三德街25號9樓,100重使字第128號,100,128,25.086584,121.484602
1,2011/08/09,英勤布業公寓大廈管理委員會,新北市三重區光復路131號,99重使字第405號,99,405,25.059092,121.472235
1,2011/09/20,博好公寓大廈管理委員會,新北市三重區重化街28號,99重使字第020號,99,020,25.063776,121.467316
